KO,pathway,description,name
K00177,rTCA,"korC, oorC; 2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]",2-Oxoglutarate ferredoxin oxidoreductase subunit gamma
K00176,rTCA,"korD, oorD; 2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]",2-Oxoglutarate ferredoxin oxidoreductase subunit delta
K00031,rTCA,"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",Isocitrate dehydrogenase
K01682,rTCA,acnB; aconitate hydratase 2 / 2-methylisocitrate dehydratase [EC:4.2.1.3 4.2.1.99],Aconitate hydratase 2
K02160,3HP,"accB, bccP; acetyl-CoA carboxylase biotin carboxyl carrier protein",Acetyl-CoA carboxylase biotin carboxyl carrier protein
K01961,3HP,"accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]",Acetyl-CoA carboxylase biotin carboxylase subunit
K01962,3HP,accA; acetyl-CoA carboxylase carboxyl transferase subunit alpha [EC:6.4.1.2 2.1.3.15],Acetyl-CoA carboxylase carboxyl transferase subunit alpha
K01963,3HP,accD; acetyl-CoA carboxylase carboxyl transferase subunit beta [EC:6.4.1.2 2.1.3.15],Acetyl-CoA carboxylase carboxyl transferase subunit beta
K01847,3HP,MUT; methylmalonyl-CoA mutase [EC:5.4.99.2],Methylmalonyl-CoA mutase
K01848,3HP,"E5.4.99.2A, mcmA1; methylmalonyl-CoA mutase, N-terminal domain [EC:5.4.99.2]",Methylmalonyl-CoA mutase N-terminal domain
K01849,3HP,"E5.4.99.2B, mcmA2; methylmalonyl-CoA mutase, C-terminal domain [EC:5.4.99.2]",Methylmalonyl-CoA mutase C-terminal domain
K00239,3HP,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",Succinate dehydrogenase flavoprotein subunit
K00240,3HP,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",Succinate dehydrogenase iron-sulfur subunit
K00241,3HP,"sdhC, frdC; succinate dehydrogenase cytochrome b subunit",Succinate dehydrogenase cytochrome b subunit
K01679,3HP,"E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]","Fumarate hydratase, class II"
K00855,3HP/4HB,"PRK, prkB; phosphoribulokinase [EC:2.7.1.19]",Phosphoribulokinase
K01601,3HP/4HB,"rbcL, cbbL; ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]",RuBisCO large subunit
K01602,3HP/4HB,"rbcS, cbbS; ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]",RuBisCO small subunit
K00927,3HP/4HB,"PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]",Phosphoglycerate kinase
K00150,3HP/4HB,"gap2, gapB; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) [EC:1.2.1.59]",Glyceraldehyde-3P dehydrogenase (NAD(P)+)
K00134,3HP/4HB,"GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]",Glyceraldehyde-3P dehydrogenase (NAD+)
K01803,3HP/4HB,"TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]",Triosephosphate isomerase
K01623,3HP/4HB,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","Fructose-bisphosphate aldolase, class I"
K01624,3HP/4HB,"FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]","Fructose-bisphosphate aldolase, class II"
K02446,3HP/4HB,"glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]","Fructose-1,6-bisphosphatase II"
K01086,3HP/4HB,"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
K00615,3HP/4HB,"E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]",Transketolase
K01100,3HP/4HB,E3.1.3.37; sedoheptulose-bisphosphatase [EC:3.1.3.37],Sedoheptulose-bisphosphatase
K01086,3HP/4HB,"fbp-SEBP; fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase [EC:3.1.3.11 3.1.3.37]","Fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase"
K01807,3HP/4HB,rpiA; ribose 5-phosphate isomerase A [EC:5.3.1.6],Ribose-5P isomerase A
K01808,3HP/4HB,rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6],Ribose-5P isomerase B
K01783,3HP/4HB,"rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]",Ribulose-phosphate 3-epimerase
K00198,WL,"cooS, acsA; anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]",CO dehydrogenase catalytic subunit
K01938,WL,fhs; formate--tetrahydrofolate ligase [EC:6.3.4.3],Formate-tetrahydrofolate ligase
K01500,WL,fchA; methenyltetrahydrofolate cyclohydrolase [EC:3.5.4.9],Methenyltetrahydrofolate cyclohydrolase
K00197,WL,"cdhE, acsC; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]",CODH/ACS complex subunit gamma
K00194,WL,"cdhD, acsD; acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]",CODH/ACS complex subunit delta
K00169,DC/4HB,porA; pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1],Pyruvate ferredoxin oxidoreductase subunit alpha
K00170,DC/4HB,porB; pyruvate ferredoxin oxidoreductase beta subunit [EC:1.2.7.1],Pyruvate ferredoxin oxidoreductase subunit beta
K00171,DC/4HB,porD; pyruvate ferredoxin oxidoreductase delta subunit [EC:1.2.7.1],Pyruvate ferredoxin oxidoreductase subunit delta
K00172,DC/4HB,"porC, porG; pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]",Pyruvate ferredoxin oxidoreductase subunit gamma
K01007,DC/4HB,"pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]","Pyruvate, water dikinase"
K00024,DC/4HB,mdh; malate dehydrogenase [EC:1.1.1.37],Malate dehydrogenase
K01677,DC/4HB,"E4.2.1.2AA, fumA; fumarate hydratase subunit alpha [EC:4.2.1.2]",Fumarate hydratase subunit alpha
K01678,DC/4HB,"E4.2.1.2AB, fumB; fumarate hydratase subunit beta [EC:4.2.1.2]",Fumarate hydratase subunit beta
K00239,DC/4HB,"sdhA, frdA; succinate dehydrogenase flavoprotein subunit [EC:1.3.5.1]",Succinate dehydrogenase flavoprotein subunit
K00240,DC/4HB,"sdhB, frdB; succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]",Succinate dehydrogenase iron-sulfur subunit
